Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE
2019-07-14 16:18:50,"Upper Body ",1h 9m,"Muscle Up",1,0.0,2,0,0,"Med tynneste strikk","",
2019-07-14 16:18:50,"Upper Body ",1h 9m,"Muscle Up",2,0.0,3,0,0,,,
2019-07-14 16:18:50,"Upper Body ",1h 9m,"Muscle Up",3,0.0,2,0,0,,,
2019-07-14 16:18:50,"Upper Body ",1h 9m,"Muscle Up",4,0.0,2,0,0,,,
2019-07-14 16:18:50,"Upper Body ",1h 9m,"Chest Dip",1,0.0,12,0,0,"",,
2019-07-14 16:18:50,"Upper Body ",1h 9m,"Chest Dip",2,5.0,8,0,0,,,
2019-07-14 16:18:50,"Upper Body ",1h 9m,"Chest Dip",3,10.0,8,0,0,,,
2019-07-14 16:18:50,"Upper Body ",1h 9m,"Chest Dip",4,15.0,6,0,0,,,
2019-07-14 16:18:50,"Upper Body ",1h 9m,"Chest Dip",5,15.0,3,0,0,,,
2019-07-14 16:18:50,"Upper Body ",1h 9m,"Chest Dip",6,10.0,4,0,0,,,
2019-07-14 16:18:50,"Upper Body ",1h 9m,"T Bar Row",1,20.0,12,0,0,"",,
2019-07-14 16:18:50,"Upper Body ",1h 9m,"T Bar Row",2,20.0,12,0,0,,,
2019-07-14 16:18:50,"Upper Body ",1h 9m,"T Bar Row",3,40.0,6,0,0,,,
2019-07-14 16:18:50,"Upper Body ",1h 9m,"T Bar Row",4,40.0,6,0,0,,,
2019-07-14 16:18:50,"Upper Body ",1h 9m,"T Bar Row",5,40.0,6,0,0,,,
2019-07-14 16:18:50,"Upper Body ",1h 9m,"Lateral Raise (Dumbbell)",1,6.0,12,0,0,"",,
2019-07-14 16:18:50,"Upper Body ",1h 9m,"Lateral Raise (Dumbbell)",2,7.0,12,0,0,,,
2019-07-14 16:18:50,"Upper Body ",1h 9m,"Lateral Raise (Dumbbell)",3,7.0,12,0,0,,,
2019-07-14 16:18:50,"Upper Body ",1h 9m,"Lateral Raise (Dumbbell)",4,7.0,10,0,0,,,
2019-07-14 16:18:50,"Upper Body ",1h 9m,"Bicep Curl (Cable)",1,21.0,10,0,0,"",,
2019-07-14 16:18:50,"Upper Body ",1h 9m,"Bicep Curl (Cable)",2,18.0,12,0,0,,,
2019-07-14 16:18:50,"Upper Body ",1h 9m,"Bicep Curl (Cable)",3,18.0,12,0,0,,,
2019-07-14 16:18:50,"Upper Body ",1h 9m,"Triceps Pushdown (Cable - Straight Bar)",1,24.5,12,0,0,"",,
